Trend,Seasonality,Autocorrelation,Stationarity,Heteroscedasticity,Residual Patterns,Outliers,Non-Linearity,Periodicity,Magnitude of Fluctuations,Time Series Length,Historical Behavior,Model Complexity,Data Size and Availability,best_model
3,3,1.0,1,False,True,1,Non-Linear,Yes,11.501522106771148,228,2,3,2,lstm
2,3,1.0,1,False,True,17,Non-Linear,Yes,0.014955923896008331,1000,2,3,3,prophetModel
1,3,1.0,1,True,True,7,Non-Linear,Yes,0.011162500118828599,1000,2,3,3,exponentialsmoothing
3,3,1.0,1,True,True,3,Linear,Yes,0.007962716240728399,1000,2,3,3,lstm
2,3,1.0,1,False,True,8,Non-Linear,Yes,0.0015222958841667276,1000,2,3,3,prophetModel
3,3,1.0,2,True,True,0,Non-Linear,Yes,29.09542244857701,81,3,2,1,prophetModel
3,3,1.0,1,False,True,40,Non-Linear,Yes,0.22890436908148795,833,2,3,3,prophetModel
2,3,1.0,1,False,True,1,Non-Linear,Yes,0.0019754350786598887,1000,2,3,3,exponentialsmoothing
3,3,1.0,1,True,True,3,Linear,Yes,0.007962716240264763,1000,2,3,3,lstm
1,3,1.0,1,True,True,2,Non-Linear,Yes,241.87605001558023,1512,2,3,3,prophetModel
1,3,1.0,2,True,True,6,Non-Linear,Yes,2.1686654923236657,291,2,3,2,lstm
2,3,1.0,2,False,True,1,Non-Linear,Yes,0.07660852911453545,17,2,1,1,prophetModel
3,3,1.0,1,False,False,0,Linear,Yes,0.6248199740725324,25,2,1,1,prophetModel
1,3,1.0,2,True,False,0,Linear,Yes,0.016888922781823596,17,2,1,1,exponentialsmoothing
1,3,1.0,2,True,True,0,Linear,Yes,34290.92366940036,145,1,3,1,lstm
3,3,1.0,2,False,True,0,Non-Linear,Yes,0.00027369714992251976,25,2,1,1,arima
1,3,1.0,2,False,False,0,Non-Linear,Yes,0.015181168510410214,25,2,1,1,exponentialsmoothing
3,3,1.0,1,False,True,1,Non-Linear,Yes,0.0003468577827216463,25,2,1,1,prophetModel
3,3,1.0,2,False,True,1,Non-Linear,Yes,0.002277961540646487,25,2,1,1,prophetModel
3,3,1.0,2,True,True,0,Non-Linear,Yes,70.48347748749669,272,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,35.940592701186105,137,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,69.3622139168933,268,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,120.569474779284,462,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,57.74107752904701,222,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,118.10494644963552,455,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,128.3283090179396,494,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,71.64040800354704,275,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,114.45808001235162,440,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,125.25176303826159,482,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,95.16661851706074,365,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,75.87870946595964,291,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,111.96452690016179,431,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,113.85958634861952,438,3,3,2,arima
